,Date,State,City,Crop Type,Season,Temperature (°C),Rainfall (mm),Supply Volume (tons),Demand Volume (tons),Transportation Cost (₹/ton),Fertilizer Usage (kg/hectare),Pest Infestation (0-1),Market Competition (0-1),Price (₹/ton)
32,2023-09,Maharashtra,Mumbai,Wheat,Rabi,36.3,151.3,2301.47,3110.17,85.65,75.28,0.88,0.78,220.73
33,2023-10,Maharashtra,Mumbai,Wheat,Rabi,39.9,261.4,2152.35,3401.69,400.54,211.74,0.55,0.07,136.96
34,2023-11,Maharashtra,Mumbai,Wheat,Rabi,21.6,151.7,3878.37,2094.34,335.14,249.45,0.71,0.21,32.07
35,2023-12,Maharashtra,Mumbai,Wheat,Rabi,37.8,8.8,3135.94,2312.22,81.68,272.6,0.52,0.48,102.59
36,2024-01,Maharashtra,Mumbai,Wheat,Rabi,31.0,18.8,1536.44,4114.32,100.84,93.14,0.39,0.82,322.21
37,2024-02,Maharashtra,Mumbai,Wheat,Rabi,36.0,83.7,1408.34,4350.2,177.98,91.39,0.28,0.83,332.17
38,2024-03,Maharashtra,Mumbai,Wheat,Rabi,24.0,28.7,2451.15,3573.89,304.44,115.71,0.29,0.24,150.15
39,2024-04,Maharashtra,Mumbai,Wheat,Rabi,39.0,38.8,2179.94,1880.01,499.58,187.4,0.97,0.48,10.99
40,2024-05,Maharashtra,Mumbai,Wheat,Rabi,34.9,193.3,2912.22,866.08,271.53,84.92,0.25,0.12,39.13
41,2024-06,Maharashtra,Mumbai,Wheat,Rabi,23.8,179.7,4253.32,1980.41,479.23,168.19,0.11,0.17,88.78
42,2024-07,Maharashtra,Mumbai,Wheat,Rabi,25.0,241.2,3377.14,858.52,257.73,213.73,0.79,0.19,63.26
43,2024-08,Maharashtra,Mumbai,Wheat,Rabi,25.4,189.2,2959.82,4320.26,426.04,138.18,0.8,0.47,158.12
44,2024-09,Maharashtra,Mumbai,Wheat,Rabi,20.8,17.8,3976.75,1275.35,106.73,124.54,0.44,0.66,11.44
45,2024-10,Maharashtra,Mumbai,Wheat,Rabi,31.7,4.7,946.04,1476.99,94.4,294.14,0.17,0.46,154.18
46,2024-11,Maharashtra,Mumbai,Wheat,Rabi,22.9,39.2,1884.82,3618.73,446.4,132.49,0.05,0.56,160.65
47,2024-12,Maharashtra,Mumbai,Wheat,Rabi,21.6,212.3,4820.83,3019.63,322.36,248.59,0.08,0.65,30.07
48,2023-01,Maharashtra,Mumbai,Wheat,Zaid,31.9,173.7,4576.5,1814.95,260.39,139.38,0.67,0.65,37.05
49,2023-02,Maharashtra,Mumbai,Wheat,Zaid,20.0,226.3,3450.21,2603.33,335.18,221.22,0.81,0.01,20.1
50,2023-03,Maharashtra,Mumbai,Wheat,Zaid,16.9,171.0,4558.51,2195.46,305.24,170.95,0.35,0.84,10.34
51,2023-04,Maharashtra,Mumbai,Wheat,Zaid,21.5,96.8,1728.82,2996.5,399.48,162.41,0.09,0.31,131.15
52,2023-05,Maharashtra,Mumbai,Wheat,Zaid,15.2,164.4,4440.68,520.35,256.25,228.46,0.87,0.64,128.4
53,2023-06,Maharashtra,Mumbai,Wheat,Zaid,33.2,37.3,2504.83,3628.88,242.92,63.3,0.62,0.59,183.37
54,2023-07,Maharashtra,Mumbai,Wheat,Zaid,39.9,177.6,3971.07,3873.77,321.2,210.18,0.73,0.7,122.39
55,2023-08,Maharashtra,Mumbai,Wheat,Zaid,15.0,205.8,4799.43,1716.99,409.77,293.01,0.36,0.6,96.33
56,2023-09,Maharashtra,Mumbai,Wheat,Zaid,32.0,93.0,2371.27,3087.24,357.87,194.77,0.25,0.04,102.88
57,2023-10,Maharashtra,Mumbai,Wheat,Zaid,30.2,237.9,3238.7,1918.14,399.72,185.35,0.02,0.63,13.35
58,2023-11,Maharashtra,Mumbai,Wheat,Zaid,23.7,227.5,4461.77,443.26,465.73,201.97,0.64,0.2,207.09
59,2023-12,Maharashtra,Mumbai,Wheat,Zaid,19.0,69.1,2593.2,3942.82,361.98,108.26,0.15,0.51,170.95
60,2024-01,Maharashtra,Mumbai,Wheat,Zaid,23.7,28.9,1224.95,1028.29,295.79,233.66,0.38,0.97,70.53
61,2024-02,Maharashtra,Mumbai,Wheat,Zaid,35.8,104.2,4446.06,809.37,374.33,82.34,0.58,0.62,140.97
62,2024-03,Maharashtra,Mumbai,Wheat,Zaid,23.5,87.5,2913.07,987.45,110.11,143.25,0.71,0.63,21.19
63,2024-04,Maharashtra,Mumbai,Wheat,Zaid,25.4,273.2,3704.07,1980.7,181.02,76.87,0.52,0.72,57.14
64,2024-05,Maharashtra,Mumbai,Wheat,Zaid,23.6,204.0,1489.16,1484.02,273.04,76.62,0.11,0.34,87.43
65,2024-06,Maharashtra,Mumbai,Wheat,Zaid,19.8,36.1,4388.62,1348.21,470.53,75.99,0.87,0.53,149.55
66,2024-07,Maharashtra,Mumbai,Wheat,Zaid,26.6,160.9,2191.01,3623.55,461.61,194.86,0.22,0.5,147.63
67,2024-08,Maharashtra,Mumbai,Wheat,Zaid,23.3,101.7,3137.5,2323.83,399.99,56.84,0.47,0.14,1.77
68,2024-09,Maharashtra,Mumbai,Wheat,Zaid,26.5,209.8,4244.78,2741.44,295.01,187.08,0.24,0.05,15.14
69,2024-10,Maharashtra,Mumbai,Wheat,Zaid,22.9,80.6,2982.26,1134.5,381.1,93.98,0.74,0.82,45.19
70,2024-11,Maharashtra,Mumbai,Wheat,Zaid,19.2,141.8,3655.29,4355.86,197.89,195.04,0.18,0.75,214.7
71,2024-12,Maharashtra,Mumbai,Wheat,Zaid,15.7,259.8,3965.05,861.78,343.26,75.68,0.94,0.17,122.09
72,2023-01,Maharashtra,Mumbai,Wheat,Post-Monsoon,37.5,128.4,594.03,2248.64,199.87,282.76,0.07,0.56,214.68
73,2023-02,Maharashtra,Mumbai,Wheat,Post-Monsoon,28.1,288.8,2438.16,1972.02,293.15,231.18,0.68,0.52,75.09
74,2023-03,Maharashtra,Mumbai,Wheat,Post-Monsoon,30.4,57.2,3952.82,1114.06,128.33,280.2,0.47,0.17,47.26
75,2023-04,Maharashtra,Mumbai,Wheat,Post-Monsoon,25.4,249.4,1057.91,3999.16,345.02,171.09,0.99,0.96,281.76
76,2023-05,Maharashtra,Mumbai,Wheat,Post-Monsoon,19.2,166.4,1465.01,1012.52,257.64,176.58,0.61,0.45,51.11
77,2023-06,Maharashtra,Mumbai,Wheat,Post-Monsoon,31.9,250.9,1528.69,933.29,281.94,250.25,0.57,0.72,60.38
78,2023-07,Maharashtra,Mumbai,Wheat,Post-Monsoon,15.8,257.7,540.38,3924.1,299.14,64.12,0.61,0.44,296.66
79,2023-08,Maharashtra,Mumbai,Wheat,Post-Monsoon,25.8,88.9,4514.47,3876.73,86.94,204.31,0.55,0.48,146.62
80,2023-09,Maharashtra,Mumbai,Wheat,Post-Monsoon,32.8,144.9,4614.35,1239.86,66.22,256.59,0.88,0.32,44.34
81,2023-10,Maharashtra,Mumbai,Wheat,Post-Monsoon,27.8,168.2,3660.76,1489.25,234.48,269.63,0.17,0.09,25.65
82,2023-11,Maharashtra,Mumbai,Wheat,Post-Monsoon,34.5,272.3,1756.57,1949.49,350.01,294.4,0.26,0.12,78.56
83,2023-12,Maharashtra,Mumbai,Wheat,Post-Monsoon,31.4,298.9,1783.4,2962.93,181.16,259.97,0.37,0.92,238.66
84,2024-01,Maharashtra,Mumbai,Wheat,Post-Monsoon,29.1,239.0,4472.35,2271.29,444.42,269.09,0.85,0.48,61.23
85,2024-02,Maharashtra,Mumbai,Wheat,Post-Monsoon,28.0,165.7,1033.67,2081.15,345.49,157.92,0.13,0.64,141.92
86,2024-03,Maharashtra,Mumbai,Wheat,Post-Monsoon,27.4,268.4,555.23,4343.9,445.54,212.34,0.69,0.14,268.17
87,2024-04,Maharashtra,Mumbai,Wheat,Post-Monsoon,39.2,65.1,2463.39,2085.87,412.38,216.11,0.09,0.04,13.68
88,2024-05,Maharashtra,Mumbai,Wheat,Post-Monsoon,36.8,194.7,4443.69,1702.87,207.82,86.71,0.38,0.23,34.6
89,2024-06,Maharashtra,Mumbai,Wheat,Post-Monsoon,19.4,203.7,4621.22,1198.76,194.61,70.53,0.17,0.33,68.18
90,2024-07,Maharashtra,Mumbai,Wheat,Post-Monsoon,19.6,89.7,862.73,1084.89,139.6,128.23,0.99,0.23,95.52
91,2024-08,Maharashtra,Mumbai,Wheat,Post-Monsoon,15.9,117.5,3528.16,3673.3,240.98,130.4,0.89,0.34,122.56
92,2024-09,Maharashtra,Mumbai,Wheat,Post-Monsoon,29.7,92.5,4727.95,3041.39,98.08,238.49,0.56,0.74,88.07
93,2024-10,Maharashtra,Mumbai,Wheat,Post-Monsoon,33.4,74.5,3095.43,3303.05,409.85,238.77,0.11,0.76,103.42
94,2024-11,Maharashtra,Mumbai,Wheat,Post-Monsoon,23.2,188.1,4435.81,1770.64,317.82,234.96,0.58,0.86,38.34
95,2024-12,Maharashtra,Mumbai,Wheat,Post-Monsoon,17.7,149.3,529.78,2892.51,479.02,292.83,0.19,0.67,180.45
96,2023-01,Maharashtra,Mumbai,Rice,Kharif,36.4,12.4,4143.67,964.41,442.26,133.1,0.1,0.73,129.33
97,2023-02,Maharashtra,Mumbai,Rice,Kharif,33.4,190.6,4734.3,4183.34,405.64,134.16,0.16,0.74,93.97
98,2023-03,Maharashtra,Mumbai,Rice,Kharif,24.5,197.6,4021.21,1573.1,376.86,206.4,0.64,0.16,84.14
99,2023-04,Maharashtra,Mumbai,Rice,Kharif,32.1,69.4,3707.16,3674.74,129.09,218.98,0.29,0.91,186.21
100,2023-05,Maharashtra,Mumbai,Rice,Kharif,28.7,186.6,3148.09,476.65,315.35,185.28,0.6,0.98,57.24
101,2023-06,Maharashtra,Mumbai,Rice,Kharif,19.9,61.3,4023.77,3418.55,93.18,124.53,0.26,0.79,154.57
102,2023-07,Maharashtra,Mumbai,Rice,Kharif,25.9,204.1,1864.61,3159.86,129.7,274.24,0.66,0.97,249.94
103,2023-08,Maharashtra,Mumbai,Rice,Kharif,21.4,18.2,1210.29,3572.51,198.48,162.02,0.72,0.49,246.22
104,2023-09,Maharashtra,Mumbai,Rice,Kharif,24.4,124.6,1231.88,3953.8,387.5,190.69,0.01,0.58,245.06
105,2023-10,Maharashtra,Mumbai,Rice,Kharif,30.9,283.4,1109.17,3055.52,432.07,50.91,0.29,0.03,159.03
106,2023-11,Maharashtra,Mumbai,Rice,Kharif,39.4,239.9,796.34,1849.55,293.22,269.14,0.28,0.5,152.96
107,2023-12,Maharashtra,Mumbai,Rice,Kharif,24.4,65.4,3137.72,4126.55,430.08,62.94,0.8,0.96,146.37
108,2024-01,Maharashtra,Mumbai,Rice,Kharif,17.5,281.6,4349.04,4371.94,319.56,164.18,0.53,0.79,153.28
109,2024-02,Maharashtra,Mumbai,Rice,Kharif,25.7,138.1,516.11,4105.6,424.23,151.11,0.44,0.62,275.47
110,2024-03,Maharashtra,Mumbai,Rice,Kharif,37.6,250.6,1768.61,2132.43,242.51,129.39,1.0,0.96,148.67
111,2024-04,Maharashtra,Mumbai,Rice,Kharif,35.5,286.6,1777.03,4345.22,291.88,259.47,0.25,0.6,288.51
112,2024-05,Maharashtra,Mumbai,Rice,Kharif,32.4,287.1,3223.56,2498.29,474.01,137.59,1.0,0.43,8.19
113,2024-06,Maharashtra,Mumbai,Rice,Kharif,34.8,24.3,932.85,1407.51,165.68,267.84,0.54,0.56,128.77
114,2024-07,Maharashtra,Mumbai,Rice,Kharif,32.4,121.2,1021.27,3137.44,227.32,152.35,0.73,0.55,231.86
115,2024-08,Maharashtra,Mumbai,Rice,Kharif,28.7,257.4,2630.86,568.81,289.77,126.52,0.81,0.71,27.88
116,2024-09,Maharashtra,Mumbai,Rice,Kharif,23.4,57.6,2693.81,3309.91,253.61,249.36,0.81,0.54,142.16
117,2024-10,Maharashtra,Mumbai,Rice,Kharif,23.2,51.7,1258.84,2259.04,240.6,59.06,0.66,0.98,168.62
118,2024-11,Maharashtra,Mumbai,Rice,Kharif,17.9,26.3,596.56,2045.29,221.68,265.6,0.76,0.02,138.85
119,2024-12,Maharashtra,Mumbai,Rice,Kharif,29.9,244.3,787.21,1664.84,70.88,281.23,0.07,0.06,187.92
120,2023-01,Maharashtra,Mumbai,Rice,Rabi,19.0,48.7,2260.31,4384.48,111.84,252.6,0.17,0.18,274.62
121,2023-02,Maharashtra,Mumbai,Rice,Rabi,24.1,147.2,696.83,2150.98,426.03,239.35,0.53,0.91,142.36
122,2023-03,Maharashtra,Mumbai,Rice,Rabi,27.0,246.8,3293.5,2867.37,369.3,78.17,0.44,0.88,90.53
123,2023-04,Maharashtra,Mumbai,Rice,Rabi,33.3,162.2,3852.88,3256.93,398.62,188.43,0.41,0.43,51.94
124,2023-05,Maharashtra,Mumbai,Rice,Rabi,20.4,221.3,3800.95,1173.35,318.44,173.59,0.93,0.98,46.84
125,2023-06,Maharashtra,Mumbai,Rice,Rabi,31.8,122.9,1606.38,2726.67,360.58,231.14,0.29,0.06,118.22
126,2023-07,Maharashtra,Mumbai,Rice,Rabi,38.4,281.8,4768.95,1139.72,130.63,58.18,0.75,0.97,28.5
127,2023-08,Maharashtra,Mumbai,Rice,Rabi,15.0,42.8,4179.72,1911.57,177.51,141.68,0.42,0.93,16.95
128,2023-09,Maharashtra,Mumbai,Rice,Rabi,16.5,282.9,2229.87,1868.57,189.57,66.98,0.29,0.64,120.23
129,2023-10,Maharashtra,Mumbai,Rice,Rabi,30.0,185.4,882.75,2522.78,451.12,212.74,0.92,0.63,134.76
130,2023-11,Maharashtra,Mumbai,Rice,Rabi,31.4,27.4,4254.12,1092.68,296.79,84.41,0.84,0.12,127.04
131,2023-12,Maharashtra,Mumbai,Rice,Rabi,27.7,163.4,4893.77,2400.43,211.2,86.73,0.81,0.6,4.34
132,2024-01,Maharashtra,Mumbai,Rice,Rabi,29.8,51.5,1205.74,3332.36,123.03,59.73,0.3,0.29,255.68
133,2024-02,Maharashtra,Mumbai,Rice,Rabi,15.3,102.3,4234.08,479.73,161.33,128.08,0.23,0.02,116.83
134,2024-03,Maharashtra,Mumbai,Rice,Rabi,20.9,299.0,4461.78,1511.84,430.35,268.9,0.63,0.5,99.89
135,2024-04,Maharashtra,Mumbai,Rice,Rabi,29.2,60.9,4880.82,504.3,91.17,273.67,0.55,0.8,95.16
136,2024-05,Maharashtra,Mumbai,Rice,Rabi,28.0,295.2,1114.87,2199.91,418.23,222.97,0.75,0.03,94.4
137,2024-06,Maharashtra,Mumbai,Rice,Rabi,15.5,226.6,3057.13,486.91,337.5,255.92,0.4,0.88,58.26
138,2024-07,Maharashtra,Mumbai,Rice,Rabi,21.5,12.4,524.05,3704.47,339.19,287.11,0.92,0.55,245.99
139,2024-08,Maharashtra,Mumbai,Rice,Rabi,28.8,231.5,4337.69,1990.45,177.54,188.73,0.03,0.24,9.5
140,2024-09,Maharashtra,Mumbai,Rice,Rabi,16.4,85.6,523.42,2529.39,373.03,197.58,0.77,0.05,137.92
141,2024-10,Maharashtra,Mumbai,Rice,Rabi,28.6,9.9,4673.72,1605.66,426.51,163.44,0.14,0.8,105.33
142,2024-11,Maharashtra,Mumbai,Rice,Rabi,15.2,283.6,3539.18,3787.9,457.23,161.69,0.76,0.31,82.73
143,2024-12,Maharashtra,Mumbai,Rice,Rabi,27.5,177.4,2232.93,3329.49,367.09,263.11,0.19,0.02,131.73
144,2023-01,Maharashtra,Mumbai,Rice,Zaid,21.5,174.4,2328.95,2775.52,423.2,79.16,0.2,0.0,68.62
145,2023-02,Maharashtra,Mumbai,Rice,Zaid,17.2,109.6,4640.31,1654.29,362.03,263.68,0.01,0.21,100.12
146,2023-03,Maharashtra,Mumbai,Rice,Zaid,33.7,131.3,1246.41,1894.34,370.36,232.36,0.13,0.39,95.95
147,2023-04,Maharashtra,Mumbai,Rice,Zaid,23.6,85.7,2375.58,907.88,326.29,285.65,0.43,0.86,5.42
148,2023-05,Maharashtra,Mumbai,Rice,Zaid,30.5,246.8,4188.9,1967.08,313.62,102.33,0.38,0.35,25.16
149,2023-06,Maharashtra,Mumbai,Rice,Zaid,35.4,124.4,3097.12,4481.25,122.81,76.02,0.96,0.83,263.81
150,2023-07,Maharashtra,Mumbai,Rice,Zaid,27.8,209.3,3080.26,954.67,405.9,297.49,0.21,0.47,63.17
151,2023-08,Maharashtra,Mumbai,Rice,Zaid,39.7,270.4,1244.63,1081.56,89.82,171.85,0.9,0.59,133.01
152,2023-09,Maharashtra,Mumbai,Rice,Zaid,31.5,133.7,1794.06,4269.19,285.49,80.82,0.74,0.16,236.36
153,2023-10,Maharashtra,Mumbai,Rice,Zaid,32.1,78.0,1534.15,1948.85,78.13,238.96,0.56,0.97,187.79
154,2023-11,Maharashtra,Mumbai,Rice,Zaid,39.1,115.8,1912.92,3266.24,184.79,225.38,0.58,0.96,233.35
155,2023-12,Maharashtra,Mumbai,Rice,Zaid,33.6,155.3,4229.19,2918.12,453.04,214.47,0.35,0.97,20.65
156,2024-01,Maharashtra,Mumbai,Rice,Zaid,35.6,151.9,4360.47,4135.94,200.86,118.89,0.58,0.27,135.44
157,2024-02,Maharashtra,Mumbai,Rice,Zaid,32.8,12.5,4314.54,1512.75,173.61,108.2,0.54,0.87,21.41
158,2024-03,Maharashtra,Mumbai,Rice,Zaid,31.9,94.9,1996.53,848.31,213.46,166.75,0.73,0.97,45.29
159,2024-04,Maharashtra,Mumbai,Rice,Zaid,25.2,226.5,2887.45,4296.44,176.11,265.37,0.68,0.08,221.64
160,2024-05,Maharashtra,Mumbai,Rice,Zaid,30.4,15.0,3957.71,3656.9,253.27,229.82,0.43,0.24,93.1
161,2024-06,Maharashtra,Mumbai,Rice,Zaid,23.2,154.5,761.82,688.4,221.67,165.26,0.35,0.32,72.69
162,2024-07,Maharashtra,Mumbai,Rice,Zaid,20.7,260.5,2164.87,2122.18,427.1,264.18,0.25,0.22,48.37
163,2024-08,Maharashtra,Mumbai,Rice,Zaid,38.3,92.9,4981.26,3894.24,191.83,176.57,0.65,0.25,82.43
164,2024-09,Maharashtra,Mumbai,Rice,Zaid,34.3,157.4,4317.73,3046.38,245.04,209.32,0.29,0.15,48.15
165,2024-10,Maharashtra,Mumbai,Rice,Zaid,23.3,151.7,830.62,3030.02,56.7,76.4,0.49,0.83,305.09
166,2024-11,Maharashtra,Mumbai,Rice,Zaid,28.7,152.6,2406.29,2709.03,238.21,225.92,0.78,0.49,127.75
167,2024-12,Maharashtra,Mumbai,Rice,Zaid,21.2,248.5,3675.85,2274.02,204.87,290.84,0.34,0.1,41.22
168,2023-01,Maharashtra,Mumbai,Rice,Post-Monsoon,26.8,37.9,1304.62,3497.22,478.98,87.86,0.91,0.85,169.33
169,2023-02,Maharashtra,Mumbai,Rice,Post-Monsoon,21.7,16.8,3411.93,2568.45,176.6,167.46,0.21,0.23,69.54
170,2023-03,Maharashtra,Mumbai,Rice,Post-Monsoon,38.2,188.8,1714.97,1840.14,338.74,253.23,0.23,0.35,80.86
171,2023-04,Maharashtra,Mumbai,Rice,Post-Monsoon,34.5,216.0,2612.47,3467.09,126.19,119.04,0.26,0.68,231.52
172,2023-05,Maharashtra,Mumbai,Rice,Post-Monsoon,23.3,249.0,1078.16,809.82,180.76,122.78,0.7,0.7,99.11
173,2023-06,Maharashtra,Mumbai,Rice,Post-Monsoon,16.0,294.7,1230.28,2992.97,210.43,205.98,0.61,0.45,227.83
174,2023-07,Maharashtra,Mumbai,Rice,Post-Monsoon,29.5,112.0,1169.23,4251.88,384.81,170.81,0.62,0.22,239.43
175,2023-08,Maharashtra,Mumbai,Rice,Post-Monsoon,36.0,5.9,1916.2,2624.45,287.07,248.85,0.66,0.5,121.37
176,2023-09,Maharashtra,Mumbai,Rice,Post-Monsoon,25.8,279.3,1541.42,1025.79,160.26,284.41,0.23,0.61,105.65
177,2023-10,Maharashtra,Mumbai,Rice,Post-Monsoon,39.4,262.2,2816.5,2910.68,158.23,277.8,0.19,0.24,157.75
178,2023-11,Maharashtra,Mumbai,Rice,Post-Monsoon,29.4,88.5,4507.32,2737.63,373.7,123.34,0.89,0.4,28.91
179,2023-12,Maharashtra,Mumbai,Rice,Post-Monsoon,22.4,185.3,1358.33,1094.82,321.19,150.59,0.01,0.44,57.17
180,2024-01,Maharashtra,Mumbai,Rice,Post-Monsoon,25.0,93.4,1348.55,3378.64,190.5,232.17,0.34,0.79,258.97
181,2024-02,Maharashtra,Mumbai,Rice,Post-Monsoon,24.3,248.0,1205.73,591.08,240.26,285.94,0.74,0.86,66.87
182,2024-03,Maharashtra,Mumbai,Rice,Post-Monsoon,39.1,15.8,4050.88,2575.03,201.5,297.19,0.19,0.13,29.36
183,2024-04,Maharashtra,Mumbai,Rice,Post-Monsoon,25.7,56.9,1569.6,4456.72,340.51,88.0,0.16,0.54,265.97
184,2024-05,Maharashtra,Mumbai,Rice,Post-Monsoon,32.5,281.9,2604.56,3292.61,364.79,103.89,0.26,0.52,146.31
185,2024-06,Maharashtra,Mumbai,Rice,Post-Monsoon,37.7,25.7,4690.76,4072.25,204.22,263.53,0.78,0.88,127.76
186,2024-07,Maharashtra,Mumbai,Rice,Post-Monsoon,16.5,175.4,2183.46,925.95,128.78,275.36,0.05,0.77,75.35
187,2024-08,Maharashtra,Mumbai,Rice,Post-Monsoon,29.8,70.4,2566.1,2690.41,98.23,167.53,0.45,0.14,141.55
188,2024-09,Maharashtra,Mumbai,Rice,Post-Monsoon,20.9,237.0,3896.03,2249.14,352.16,97.98,0.22,0.12,13.53
189,2024-10,Maharashtra,Mumbai,Rice,Post-Monsoon,31.5,279.5,1804.01,2707.65,195.1,104.32,0.06,0.7,208.86
190,2024-11,Maharashtra,Mumbai,Rice,Post-Monsoon,37.6,70.4,3234.98,1579.17,283.55,69.85,0.97,0.91,4.39
191,2024-12,Maharashtra,Mumbai,Rice,Post-Monsoon,38.3,69.1,2443.29,760.69,370.71,84.78,0.73,0.61,49.66
192,2023-01,Maharashtra,Mumbai,Maize,Kharif,25.7,218.3,3305.04,1830.66,488.89,109.42,0.03,0.31,41.9
193,2023-02,Maharashtra,Mumbai,Maize,Kharif,39.4,5.3,3922.21,2550.25,190.04,202.18,0.93,0.55,42.71
194,2023-03,Maharashtra,Mumbai,Maize,Kharif,19.8,158.2,1287.3,3512.28,365.34,101.16,0.81,0.1,180.47
195,2023-04,Maharashtra,Mumbai,Maize,Kharif,25.7,275.4,4472.89,1360.01,460.92,59.16,0.08,0.2,125.64
196,2023-05,Maharashtra,Mumbai,Maize,Kharif,37.7,261.3,4341.82,3001.29,431.68,168.2,0.23,0.94,39.57
197,2023-06,Maharashtra,Mumbai,Maize,Kharif,27.1,233.4,4105.53,3811.71,155.77,116.29,0.02,0.81,183.67
198,2023-07,Maharashtra,Mumbai,Maize,Kharif,23.0,288.2,1516.43,1472.83,86.63,225.67,0.35,0.29,142.21
199,2023-08,Maharashtra,Mumbai,Maize,Kharif,30.2,195.5,3444.65,3007.28,85.09,235.85,0.66,0.65,157.64
200,2023-09,Maharashtra,Mumbai,Maize,Kharif,26.1,154.4,1503.45,4324.02,152.88,171.58,0.39,0.88,338.5
